geoid10,nhid,nhname
8123000501,,
8123000502,,
8123000600,,
8123000701,,
8123000703,,
8123000704,,
8123000705,,
8123000800,,
8123000900,,
8123001003,,
8123001004,,
8123001005,,
8123001006,,
8123001100,,
8123001201,,
8123001202,,
8123001300,,
8123001404,,
8123001405,,
8123001406,,
8123001407,,
8123001408,,
8123001409,,
8123001410,,
8123001411,,
8123001412,,
8123001413,,
8123001414,,
8123001415,,
8123001416,,
8123001417,,
8123001500,,
8123001600,,
8123001700,,
8123001800,,
8123001902,,
8123001905,,
8123001906,,
8123001907,,
8123001908,,
8123002004,,
8123002005,,
8123002006,,
8123002007,,
8123002008,,
8123002009,,
8123002010,,
8123002011,,
8123002012,,
8123002013,,
8123002014,,
8123002015,,
8123002016,,
8123002017,,
8123002018,,
8123002019,,
8123002020,,
8123002021,,
8123002101,,
8123002102,,
8123002103,,
8123002203,,
8123002204,,
8123002205,,
8123002206,,
8123002207,,
8123002208,,
8123002209,,
8123002210,,
8123002300,,
8123002501,,
8123002502,,
8125963100,,
8125963200,,
