SITUS_ZIP,TOTAL_VALUE
80237-1108,361700
80209-2428,706100
80219-4229,217700
80220-1928,309000
80231-4552,406600
80211-3641,590900
80209-4835,1819300
80212-2020,412200
80205-5336,477000
80210-2517,42700
None,266700
80210-3129,606100
80210-6218,429400
80238-3863,382700
None,100
80209-1919,356000
80227-3850,363100
80239-4923,228600
80206-3836,990100
80224-1236,322100
80219-2270,204000
80210-1521,784400
80220-2039,329400
80239-5045,237500
80211-2937,310600
80205-5641,489600
80222-7116,398300
80238-3814,442800
80219-5741,266900
80219-3007,253000
80249-8069,211500
80210-1605,503200
80219-2654,184800
80207-1346,453400
80219-2755,168000
80210-2426,742000
80219-4117,268300
80210-3125,350200
80211-3392,527900
None,320300
None,562800
80211-1346,809500
80205-4453,372300
80123-0665,637400
80220-2459,343100
80239-3811,217600
80239-6057,295000
80239-7019,313900
80220-2138,262400
80212-1439,674200
80237-2803,26071200
80207-2937,320200
80210-6325,509300
80211-3106,656700
80212-1438,526000
80211-1136,787200
80239-4319,244500
80239-3886,271500
80220-1006,338100
80249-8528,295300
80220-6329,805000
80249-7318,376600
None,43600
None,425700
80239-3791,216100
None,471100
None,958100
None,100
80236-3358,338100
80219-2111,195600
80204-3215,583100
80206-4511,740600
None,100
80209-4527,686900
80205-5514,717900
80219-3849,216600
80219-3251,302500
80211-1115,525300
80231-2083,171800
80222-6273,321300
None,287900
80222-3942,331200
80236-3387,352500
80210-5739,386600
80249-8522,258200
80211-2201,396400
80204-2820,212700
80205-5210,424300
80212-2310,328500
80222-4100,9344300
80206-3406,480600
80221-1308,224100
80204-4408,125300
80220-4928,100
80219-5744,253800
80207-3223,425500
80235-2911,412400
80204-4086,609300
80204-3229,201000
80210-4122,646100
80218-4021,2721100
80249-7010,244200
80223-3735,239000
80220-2053,285800
80220-4822,383200
80216-6532,2899300
80211-4629,376700
80212-1650,497800
80212-1513,486000
80239-4126,215000
80207-3808,874400
80224-2037,347200
80210-6546,606900
80210-5908,377200
None,100
80222-4714,321600
None,15100
80203-5202,4095000
80219-2726,264500
80211-2122,418100
80219-5328,232600
80219-2247,223500
80218-3401,408200
80211-4520,399500
80219-5741,235000
80206-3501,355100
80209-2215,550400
None,359600
80210-6439,570400
80209-1814,480700
None,591500
80249-8415,315800
None,355800
80205-3357,347000
80237-1757,384000
80209-4407,875900
80223-3741,227500
80211-4815,656500
80220-3703,255500
80212-2117,698000
80223-2320,226800
80210-6903,836000
80219-2322,241800
80212-1729,326000
80211-2217,412700
80205-5505,356100
80205-4135,394500
80212-2226,256500
80231-2083,171800
80207-3755,410900
80203-2703,5363500
80211-4076,441100
80219-3414,183100
80123-1833,225100
80212-2721,241400
None,290500
80249-6832,1535900
80222-6527,374100
80223-1310,702300
80207-3248,479100
80238-3394,477200
80205-5117,567300
80205-4065,406000
80223-3522,264400
80219-3378,214800
80211-4077,417600
80210-5819,3625500
80246-3222,273300
80230-7166,220100
80207-3608,406400
None,799400
80239-5612,204800
80209-4617,647100
80218-2106,669400
None,624800
80212-2912,770800
80207-3940,522900
80207-2015,314000
80123-5110,460400
80220-1424,630700
80220-4920,396700
80218-3435,478400
80207-3523,266100
80211-4012,296500
80206-4334,1005600
80246-1147,1463100
80219-5630,348900
80210-2422,1201300
80231-6023,377600
80231-2622,320000
80236-3635,376300
80211-2761,337500
80207-2933,304200
80212-1440,412500
80211-2801,473500
80204-3111,180400
80211-2931,613000
None,587700
80247-6530,391800
80227-3548,305600
80211-1765,None
80211-3808,None
80206-2336,None
80203-3722,None
80212-1949,446400
80218-2238,5060700
80207-2924,285300
80210-5503,571300
80209-4002,606800
80207-1209,280700
80205-5388,615700
80206-2117,16400000
80227-3544,307700
80222-4427,332800
80211-3207,270000
80236-3352,354200
80224-2013,354100
80209-4825,508700
80239-3859,215400
80223-4303,228600
None,890800
80206-4118,1661700
80246-2321,411800
80204-2936,192200
80249-7054,236700
80220-4328,346900
None,499800
80211-4019,497700
80238-2767,415900
80205-5132,457000
80237-1621,356900
80219-2934,292800
80223-3020,318000
80207-1836,215700
80249-6957,292600
80210-5154,369500
80205-5249,712300
80219-1225,261400
80205-4451,294400
80209-4310,472900
80210-3331,516200
80235-2957,362700
None,674000
80231-4063,297800
None,56300
80207-3756,2145000
80207-3917,344900
80219-4245,225400
80210-4436,570600
80207-2836,387200
80239-4311,255900
80224-1927,325000
80207-1948,687500
None,100
80211-2639,100
80216-2724,188700
None,5664200
80209-2209,451300
80237-1711,346600
80204-4306,321600
80207-2919,307800
80210-5405,2171000
80210-2736,427100
80220-5150,420400
80219-1514,312000
80220-4821,512900
80211-1540,271400
80218-3643,1537200
80205-4901,312500
80206-3705,1306700
80220-2831,410900
80205-3958,252700
80212-2234,324500
80204-4622,183800
80249-6601,292500
80246-1105,254100
80247-1947,413800
80211-1758,464000
None,100
80239-5847,256800
80239-2839,1190300
80219-2534,127400
80227-3828,354500
80224-2243,386300
80224-2760,557300
80224-2134,341400
80221-1035,413700
80219-5028,289600
80123-1602,311200
None,100
80218-4023,927100
80210-2001,441100
80224-1919,335500
80205-2626,397800
None,1600
80249-8409,334200
80246-3246,307900
80238-2417,477300
80207-3831,510300
80206-1821,578400
80223-4413,299400
80206-3517,387000
80212-1551,415500
80239-7023,286100
80204-3008,149800
80239-4240,189400
80219-5959,100
80223-2621,244200
80212-2070,542900
80222-4349,269000
None,18800
80222-4427,300100
80220-5845,1006700
80223-3514,208100
80219-5303,211300
80237-2039,560400
80249-6692,288900
80230-7062,749500
80216,100
80211-3401,762800
80204-4537,337900
80239-3663,218800
80209-4329,692300
80239-5438,242200
None,35460500
80223-1223,801300
80205-3960,274400
80231-5683,347700
80209-4550,1220700
None,1218000
80249-7046,258800
80219-2023,213500
80211-1568,510000
80237-2915,384100
80239-5648,230800
None,None
None,None
80209-3321,None
80223-2930,None
80218-2425,None
80205-5346,306700
80238-2929,664900
80205-4634,444000
80216-2912,181200
80247-6529,340000
80211-2540,375500
80211-4802,385000
80211-3224,543300
None,3352900
80219-2355,207700
80249-7115,265500
None,13657900
80219-5824,254600
None,368700
80210-4031,663000
80223-3717,270300
80222-7506,363000
80205-3424,161900
80204-5600,440800
80206-4545,482500
80207-3424,344000
80223-2608,254600
80211-1618,533000
80231-4221,321900
80239-3818,229700
80210-2333,506700
None,1039400
80206-4125,501000
80212-1957,679100
80211-1425,529700
80218-2005,719400
80239-7023,318900
80219-1706,234400
80230-6551,495600
80210-3612,288300
80216-4904,192800
80206-4437,812800
None,2246300
80231-4262,100
80219-3422,259500
80207-2727,286700
None,100
None,278200
80239-4361,258200
80216-4149,220900
None,272500
80219-4163,100
80221-1264,236100
80236-2235,348300
80218-3319,2604700
80205-3342,413600
None,100
None,224400
80219-1332,192800
80205-5321,466800
80219-4549,222300
80204-2920,316400
80210-5510,328200
80212-2233,333600
80222-6750,971500
80205-4254,432000
80239-4280,296400
80207-3264,466700
80221-1025,344300
None,639700
80239-5123,262300
80211-1461,443800
80219-2379,227000
80238-3547,361600
80239-4409,253300
80216-2506,182600
80246-2323,347700
80205-4747,285100
80220-2623,605400
80231-4633,342300
80224-2139,320900
80249-8294,277500
80219-5330,210400
80236-2507,257300
80219-4512,227800
80210-5109,391700
80204-3111,196200
80239-5169,226300
None,100
80224-2633,393700
80219-1527,215000
80231-4288,389200
80205-2747,446700
80206-4437,770300
80205-5566,421000
80237-1725,423900
80210-2541,458100
80205-4720,499200
80205-3439,218700
80249-8722,436500
None,1183000
80207-3713,1869000
80249-7038,267800
80238-2501,489400
80205-4832,425100
None,200
80247-6526,373700
80238-3843,436500
80205-3920,342200
80222-6857,258200
80216-2944,185800
80249-8003,262700
80223-1325,420100
80219-1553,100
None,36300
80211-3011,368700
80206-1129,2600000
80204-4407,300100
80209-4018,230700
80209-2430,876900
80239-3785,253500
80206-3347,661900
80236-2827,270500
80223-2919,272800
80211-2136,385500
80221-1521,230200
None,1123600
80219-2715,443400
80231-2604,383100
None,18100
80224-2835,460900
80211-2025,442000
80224-1413,419300
80205-5502,310200
80239-3740,264700
80219-1736,181800
80205-4832,306800
80224-1356,385400
80123-0806,431700
80204-4526,383900
80223-1843,235700
80212-2361,329300
80237-3006,100
80249-6501,365300
None,398200
80211-1822,481500
80249-6961,281700
80207-2916,300300
80210-1914,592400
80239-5142,232300
80220-5025,1046800
80204-3828,6873500
80204-5112,1471000
80219-1604,192500
80219-2243,209000
80223-1112,524300
80212-1449,574100
80206-2364,1910500
80227-3565,315500
None,549000
80219-2874,346900
80249-8272,272600
80212-1749,476300
80239-5471,231400
None,305900
80249-6809,255200
80219-4446,285300
None,68600
80220-2050,325900
80236-2113,324500
80211-2666,300700
None,659200
80204-1526,404400
80249-7198,308400
80205-4943,312500
80237-2525,495300
80239-6505,291100
80223-1003,586700
80239-5683,243700
80209-4621,945200
80219-2283,247200
80220-4751,683100
80216-3930,183600
80211-4064,389300
80210-4436,381800
80220-5924,864400
80207-3405,560400
80224-1453,287100
80219-3025,247000
80219-2886,423400
80219-5206,324100
80205-5241,564400
80211-5120,674900
80219-5055,297000
80220-1958,237100
80210-2750,436800
80207-3015,383300
80223-4132,356800
None,588100
80207-3551,338000
80207-3830,699100
80209-4018,246700
80236-3336,411900
80206-4125,501000
80210-1808,1059600
80231-2657,260100
80219-2633,235600
80209-5014,821000
80219-2023,210100
80210-6347,353600
80212-1708,516700
80204-4711,221700
80204-1526,328300
80220-1430,724500
80239-4286,288800
80220-2241,282600
80211-3658,690800
80249-8300,280000
80223-1127,405200
80249-7030,260100
80219-4404,264800
80249-7167,302500
80247-6815,505600
80212-1918,408800
80207-3132,512300
80209-1621,690800
80205-5052,156200
80227-3572,347000
80210-4126,366900
80238-2905,488400
None,753300
80210-2420,914600
80210-5143,670300
80236-3385,345300
None,259700
80246-3218,275700
80210-4613,407700
80205-3802,261200
80204-1040,311100
80216-2917,224400
80219-5747,373600
80211-4315,714900
80205-4524,222900
80204-2881,232500
80210-4921,705600
80227-5747,294900
80236-2106,318000
80221-1368,235500
80220-4826,477400
80219-1143,216100
80212-1948,779300
80224-2816,478700
80210-3107,436700
80224-1308,481800
80219-3708,217100
80219-4442,225200
None,818400
80210-3527,504800
80207-1048,279200
80236-2813,281900
80236-2010,307500
80203-4001,585900
80204-1905,571400
80219-3128,177600
80207-3711,755800
None,100
80219-1527,303700
80239-4389,255300
80211-2117,384800
80219-1140,123300
80237-2027,484400
80238-3085,611900
80211-1168,498600
80230-6966,699300
80219-5747,297600
80239-4381,265500
80211-3207,521000
80211-2717,478700
None,100
80123-5108,465300
80207-2913,263600
80249-8454,282600
80223-2507,300400
80230-6226,356100
80239-5470,282500
80205-4201,366200
80239-3638,248800
80220-2640,423700
80205-5345,310800
80239-5132,229300
80219-5524,201200
80220-6148,309000
80238-3225,423900
None,281300
80237-1333,492700
80214-3019,343700
80123-7604,284100
80246-1406,356700
80249-6725,243400
80220-2009,310800
80212-1615,520000
80211-1617,563800
80205-2713,710000
80249-8410,331300
80239-5403,252700
80210-6734,719000
80231-2678,380200
80220-2512,466600
80237-1720,400800
80223-3119,760700
None,200
80207-3510,361800
80222-3825,348800
None,340000
None,707600
80239-6456,319300
80210-4400,1723400
80239-3817,228500
80207-3835,372400
80219-3944,250900
80227-4119,385000
80209-4631,558700
80207-1119,479400
80239-7012,256000
80239-3812,215200
80211-2735,521500
80220-4948,667500
80224-1370,586000
80249-8065,216700
80224-1046,457000
None,100
80206-1195,566300
80236-3203,444500
80205-5341,409300
80206-3845,685100
80222-7504,284000
80219-1227,253200
80231-4734,326400
80202-1878,107300
80238-3807,417300
80204-1436,259300
None,100
None,50800
80211-2634,318000
80237-1236,712500
80219-3746,225400
80220-5613,761000
80219-3531,236000
None,757000
None,452700
80238-2754,572500
80205-5637,288500
80231-2659,201000
80203-2620,415200
80235-3041,913200
80210-4907,680500
None,79002400
None,520600
80203-2252,12207800
80205-5637,574400
80219-4456,273400
80207-2135,363200
80205-2941,372200
80231-4256,357900
80223-3801,266600
80205-3932,265600
80206-3415,385200
80220-2147,201300
80219-1027,276200
80223-3719,236300
80209-4424,483900
80220-5343,440300
None,322500
80209-3234,1306700
80224-1431,475900
80223-1303,297500
80206-2708,430200
80219-5030,337100
80209-4138,682900
80237-3463,559400
80210-2900,462500
None,100
80236-3522,300000
80249-6822,290200
80205-5126,435700
80211-4818,467500
80237-2538,573000
80209-5015,386200
80203-1420,400500
80249-8209,293900
80231-4040,282300
80216-4024,212800
80220-5721,1056400
80204-3421,2616900
None,591900
None,743900
80221-1526,280700
None,314700
80207-1139,271400
80203-4106,489000
80211-4415,437100
None,490000
80204-1036,557200
80237-1323,593200
80219-1032,246700
80220-5204,100
80218-3706,311700
None,298200
80218-4023,416300
None,100
None,422900
80206-3829,851100
80211-1642,692700
80239-4421,266400
None,100
None,369400
80221-1134,440700
80236-2511,238900
80205-2937,278300
80238-3300,366200
80221-1318,307800
80207-2826,334800
80221-1317,443100
80219-1727,260800
80205-4236,381600
80205-4116,308100
80220-4441,472000
None,445300
80205-2753,258100
80224-1552,500600
80204-3144,341300
80209-2706,951200
80230-6517,550400
80238-2652,538600
80212-1116,678300
80224-1934,337100
80231-4736,359100
80206-4125,250600
80218-3240,2482000
80205-4154,359300
80205-4331,411700
80219-6048,141700
80249-7621,256400
80204-2825,225900
80231-4712,369000
80207-2664,286400
80223-1126,314700
80249-8507,460000
80239-5717,10619000
80221-1211,222200
80209-4606,825000
80230-7210,358500
80210-2224,586400
80219-4541,213800
80219-2408,291600
80230-6737,754000
80237-2122,435900
80210-6314,446500
80239-3606,249800
80209-2127,425300
80239-4337,260400
80212-2231,197600
None,4375900
80205-2426,365400
80207-2645,317200
None,282900
80230-6968,713000
80238-3052,761700
80249-8156,311000
80238-2595,2597100
80202-2902,12988900
80209-2215,387500
80239-4143,237100
None,757300
80220-3340,292700
80220-6125,562900
80231-4070,291900
80239-3818,229100
80219-3377,254900
80207-3623,319900
None,100
80216-3636,258800
80219-5248,294200
80237-1041,482400
80231-5613,226000
80212-2633,362000
80207-2825,323100
80230-7070,808900
None,307400
80205-4166,323400
80237-2112,425600
80219-4728,250000
80223-2705,263800
80209-4028,490900
80207-3505,350000
80230-7055,641200
80212-2225,606000
80239-5093,241700
None,584500
80207-2929,260000
80223-1130,391800
80209-4734,540800
80123-1078,285100
80123-1632,348700
None,524800
80249-8297,273400
80224-2246,391300
80231-2655,240800
80219-2155,203400
80206-5617,34771800
80204-3543,485700
80219-1215,255500
80223-4308,267200
80238-2546,694500
80205-3512,349400
80237-2915,421800
None,488500
80223-3732,264500
80210-6931,750100
80219-2727,195700
80222-6005,415200
80238-3342,849400
80220-5151,792000
80219-4437,275700
None,22900000
80249-8100,275600
80231-4040,272200
None,472800
80211-3615,362800
80222-7141,444000
80219-3312,323800
80249-8680,252100
None,1440000
80247-6815,472400
80235-3065,555900
80238-3494,643500
80212-3035,536900
80223-3527,261000
80223-2538,276800
80211-2138,447100
80204-5135,523400
80239-4290,265200
80219-3425,215100
80212-2722,289500
80209-3215,894000
80202-1649,1830000
80203-4006,389100
80204-3949,383100
80209-2639,620400
80212-1954,495300
80227-5907,310300
80210-3344,322200
80236-3007,279700
80211-4307,719500
80222-6605,311800
80207-2152,284300
80209-3317,6190300
80249-7137,280100
80219-5256,284200
80227-3423,296400
80209-2116,526800
80227-3501,283400
80206-4017,955200
80238-2733,400200
80205-5343,421800
None,100
80220-2218,300000
80220-2563,588700
80220-1551,401300
80249-7005,236700
80230-7074,645300
80227-3579,286300
80204-1242,381400
80220-4619,364200
80216-2226,279900
80210-2518,428000
80227-3606,295200
80219-1727,224800
80237-1245,549000
80211-3221,545300
80223-2952,276800
80239-4343,263700
80209-4249,1555400
80249-8209,338600
80211-2737,364200
80237-2143,403700
80219-4109,221200
80210-6548,647400
80210-4830,771200
80210-4911,572200
80207-3749,624900
80249-8071,255700
None,803600
80205-5363,4028600
80205-5040,401000
80221-1538,253900
80231-4550,385300
None,704400
80206-5519,1745000
80205-3024,251500
80211-3642,1467000
80236-3331,351500
80220-3433,338600
80231-5615,189200
80210-6022,431600
80239-5926,253100
80222-7545,436200
80204-3121,252000
80249-8309,267700
80236-3214,421900
80236-3700,303000
80205-5344,435100
80249-6571,261500
80212-2543,333100
80239-5064,227800
80219-5833,227700
80222-6606,365400
80123-1901,318100
80207-3018,414300
80222-7556,323400
None,223500
80219-2890,155300
80239-4022,241000
80210-3116,312600
80211-5104,406200
80123-1618,328400
80223-1304,432100
80247-1900,537500
80238-3485,897200
80207-4061,305600
80220-2422,710400
80209-1765,456500
80249-6622,241700
80210-4204,679300
None,100
80216-4039,26200
80239-4134,245000
80219-3454,235700
80212-1557,450800
80249-7044,224000
80224-1417,365400
80219-3817,279100
80239-5120,266000
80123-2120,286400
80222-6606,305700
80220-5982,719700
80210-4012,432400
80223-1326,284300
80207-2154,258400
None,614800
80204-1242,399900
80211-2720,476200
80205-4593,658400
80205-4631,455900
80206-3445,508500
80205-4353,334500
80219-3322,217200
80219-3918,188600
80239-3754,241700
80223-1110,367800
80210-6711,588000
80209-4607,652200
80222-7501,317800
80218-4025,1395900
80206-3527,483700
None,535300
80239-4117,251300
80205-4011,408400
80238-2733,509000
80249-6613,253000
None,312000
80211-1819,413900
None,402000
80218-3698,1542200
80249-7326,368000
80238-2537,379000
80210-3132,423700
80227-3413,1128100
80222-3806,402500
80211-1558,312800
80237-1509,326800
80221-1124,367400
80207-3512,276500
80205-2710,279900
80239-5686,242400
80227-5426,306400
80207-4008,332600
80219-4107,422400
80207-3429,436000
80205-5708,453800
80205-4559,596300
80216-3515,231100
80220-4526,558100
None,368800
80205-3451,416000
80224-2827,382900
80224-2824,587600
80249-8063,268800
80210-3322,350500
80205-3415,135100
80219-1512,241800
80239-4996,215800
None,294400
80236-2047,328700
80209-1911,239400
80222-7321,276600
80230-7171,330000
80206-1705,692100
80231-4288,378400
80223-2549,289400
80218-3698,1945800
80209-4409,674800
80227-3716,262800
80207-1116,201000
80205-4824,367900
80212-1833,357300
80218-3638,701600
80210-3503,587700
80220-4918,675100
80220-5322,665000
80205-4816,307100
80238-2491,505200
80223-3536,317800
80216-2907,226900
80210-5733,440200
None,651500
80123-1833,256800
80239-3708,227200
None,923000
80219-4444,288600
80218-3218,997900
80249-7300,365300
80220-6501,1668200
80249-8429,227400
80209-4419,610800
80227-3524,294800
80239-6477,223200
None,99900
80123-1914,302000
80210-3221,1009300
80204-3225,230300
80206-4411,2308000
80212-1345,382200
80249-7513,271400
80237-1730,398200
80209-4508,1544400
80249-7472,307600
80212-2626,403600
80249-8237,393200
80249-7531,279800
80249-7100,288300
80219-1604,214100
80221-1128,322000
80207-3145,409900
80211-3819,631500
80238-2494,619800
80249-8605,257400
80210-3631,299100
None,479500
None,425300
80211-1436,450700
80212-1419,580400
80249-8712,341800
80210-6218,635100
80207-3211,551500
80219-5428,234900
80210-2905,293500
80205-3947,284400
80123-0687,465300
80238-3349,356100
80219-1345,196300
80220-5614,782800
80239-4326,254400
None,271100
80210-4414,362900
80210-3512,706400
None,100
80220-2455,687700
80220-1743,460300
80220-3322,263900
None,200
80219-5346,209200
80220-6075,325500
80212-2555,6489300
80219-2071,811300
80231-4529,342200
80219-2324,11300
80223-3417,268900
80221-1525,233300
80216-2624,155700
80239-4402,249600
80209-2392,434400
80211-6314,471000
80238-3863,384400
80220-5204,606400
None,100
None,85200
80219-5328,235400
None,1004700
None,None
80203-4026,None
80236-2445,375500
80238-3268,547500
80216-4142,193500
80230-7048,1404600
80246-2319,376200
80207-3216,590700
None,287500
80204-1653,506000
80223-3537,260100
80216-2716,14500
80210-3112,371300
80204-4820,4044300
None,100
80220-2835,437900
80211-4807,424300
80205-4316,264100
80212-1400,619600
80209-4735,529400
80219-3034,284000
80123-2492,375100
None,100
80211-2832,294400
80237-1130,487200
80205-5636,482300
80222-3516,415600
80205-4128,428200
80205-4325,249600
80219-1524,227500
80206-3329,695000
80210-5609,544700
80221-1232,235100
80211-3526,370300
80227-3838,324900
80220-3342,264600
80224-1240,316700
80219-3757,184700
80211-1409,358000
80211-2767,527400
None,750000
80218-3813,639300
None,100
80205-5563,654400
80203-1408,284300
80239-5620,274700
80205-4865,245600
80238-3824,508100
80222-7105,427000
80236-3017,268300
80211-1136,273800
None,824900
80227-3553,382400
None,296200
80210-1831,1332800
None,None
80231-3973,239500
80209-2609,459600
80218-3926,1962300
80222-6755,282800
80219-2549,229800
80207-2213,236000
80219-4339,274700
80223-1797,335600
80205-4702,276900
80249-8029,339200
80236-2326,310200
80238-2659,641300
80219-2146,219900
80223-1551,475700
80219-2120,186300
80236-2522,329600
80239-4911,267600
80219-3322,180600
80207-3846,1015900
80222-4403,290400
80207-3443,811500
80123-0887,450100
80205-3957,513400
80211-3538,1006500
80249-6517,234400
80212-2816,375200
80205-4362,292500
80216-2948,196900
80205-4126,315700
80209-2419,597000
80209-4645,635300
80205-5319,474800
80238-2697,737300
80204-2967,190100
80219-2913,296200
80211-3205,409800
80238-2733,369800
80206-4116,5093400
80220-2803,268500
80219-5059,282600
80219-5438,284400
80204-4536,333200
80220-5760,707100
80218-3406,393900
80207-3250,421400
80219-3544,337500
80207-3527,270200
None,336700
None,308200
None,575100
None,571700
80227-5909,320100
80236-2707,266900
80207-1345,205800
80222-4462,309000
80218-4017,3724700
80205-2108,1368900
80209-4528,810300
80224-1210,424500
80230-6933,433000
80221-1230,294300
80204-5127,395200
80238-3508,773300
80239-3116,5401200
80220-5908,2387400
80219-2870,216500
80219-3516,274600
80211-1703,452800
80211-2952,502800
80204-3235,196200
80209-3512,100
80205-3113,7261800
80231-2014,169800
80235-2910,322300
80212-1143,533900
80204-3946,505400
80220-5032,1095000
80204-3946,344800
80219-5614,294900
80220-2431,427100
80206-5525,829500
80220-2458,397400
80238-3191,194000
None,140200
80204-3006,178900
80223-2939,397900
None,552800
80209-5106,746600
None,652000
80206-3831,601100
80207-2808,390200
80222-6513,315900
80205-3428,275200
None,1262500
80210-6443,618600
80212-2909,312200
80206-4031,910000
80207-2840,321200
80220-1458,1134500
80206-4041,530200
80223-1741,1071100
80210-3130,1154900
80231-5694,212000
None,623100
80211-3161,609200
80207-2935,319800
80205-2930,780400
80231-4399,500700
80210-2822,471200
80211-3825,1069700
80123-1811,293000
80211-4118,770000
80224-2313,376800
80249-8216,255200
80210-3339,905300
80204-1145,338200
80223-1832,318000
80238-3405,599200
80219-1742,265100
80216-2739,189100
80238-2678,388300
80219-1843,231900
None,244400
80219-3350,64600
None,469700
80222-3933,401900
None,688900
80227-4106,435000
80204-1434,281100
80219-3523,232300
80210-5711,391800
80220-5326,479500
80211-2808,620700
80219-3037,241000
80204-3144,197800
80219-2525,167600
80220-5903,757900
80236-3546,301400
80230-7073,725700
80218-2608,1203100
80210-6022,396600
None,671500
80216-4132,203000
80205-3357,267800
80207-1137,479700
80219-5851,232400
80211-3644,679800
80219-5358,202900
80212-1113,465300
80209-4715,550300
80218-3705,326400
80237-1235,479300
80210-2317,1612800
80220-6235,569600
80211-2009,564500
80206-1826,405200
80210-5936,491300
80206-4538,806400
80219-5111,331000
80212-1730,697400
80239-6603,289000
80219-1129,225300
80209-4938,469100
80211-1718,505800
80249-7542,342600
80210-5953,410300
80239-4265,282300
80231-2674,181700
80205-4820,14900
80219-2240,676500
80219-3504,242800
80219-5717,269400
80206-3211,534800
None,533100
80207-3045,522600
80212-2251,417000
80209-1621,501900
80222-6704,436600
80239-5668,260700
80207-2240,339600
80231-2657,219400
80237-1332,474400
80211-1826,427400
80230-7098,541800
None,627800
80216-4142,139500
80220-2433,564400
80219-2577,183300
80218-3513,737500
80219-4114,88800
80210-2540,426500
80216-3550,100
80220-1965,215200
80204-4618,211600
80206-3416,473400
80204-3330,5746900
80212-2806,311000
80210-6719,380600
80223-3129,100
80238-3501,501900
80247-1913,389200
80220-2051,333000
80249-7067,253400
80206-2310,451100
80209-4336,630300
80239-4163,230700
80222-6804,266300
80204-4541,412700
80202-1875,548400
80204-2919,524300
80221-1366,243600
80220-5326,596800
80247-7546,642500
None,100
80221-1036,100
80210-2409,420000
80206-3953,669100
None,20200
80211-3040,1432000
80204-5049,949600
80239-4064,243900
None,100
80224-2004,321200
80204-2931,100
80209-4339,586900
80211-1817,466300
80247-5104,100
80207-3051,389000
80239-3730,228600
80207-2004,312100
80219-5720,259900
80239-4366,252300
80220-5026,441000
80219-4430,292200
80221-1036,357800
80210-4104,754400
80204-3901,505500
80216-2527,171400
80205-5537,390800
80249-8004,253300
80246-1004,1079400
80231-4186,360300
80212-1955,373400
80211-4105,491200
None,484400
80239-6456,274500
80223-2532,251800
80219-3474,159100
80224-1926,356300
80204-4342,238100
None,200
80206-3518,533800
80238-3347,435700
80210-2535,406700
80218-3665,700400
80220-1246,551700
80222-7527,349800
80224-2256,444900
80209-4326,1331100
80205-5624,569100
80204-3145,218700
80203-4022,482700
80212-2149,604300
80206-2211,563600
80205-4500,912200
80219-1028,222800
80209-5126,489100
80209-2019,908900
80236-2836,217700
80235-2601,281800
80211-1738,497900
80209-2126,646600
80211-1716,222000
80239-6041,273200
80203-3801,427100
80123-5101,479200
80237-2500,457700
80211-2717,415600
80207-3435,601400
80209-2715,722600
80232-8020,623700
80206-1702,303700
None,377400
80227-3813,312300
80210-2215,444300
80239-4423,240300
80211-3543,741300
80219-5353,262900
80222-7262,1708300
80235-3068,530900
80210-3119,442800
80227-4144,5959400
80204-3352,5912700
80222-3522,395700
80222-7318,284300
80216-5120,2353700
80212-1826,559300
None,581500
80219-5198,286500
80211-4004,334600
80239-5430,224400
None,18100
80210-4122,623300
None,328400
80205-4711,350300
80219-1010,200900
80230-6967,640000
80210-5608,1688100
80220-4821,484300
80231-4217,350600
80223-1542,380600
80249-8028,265800
80220-3110,360100
80239-5670,223300
None,200
80235-2643,30017500
80219-5330,219900
80219-3414,201200
None,633600
None,388700
80220-5610,1061700
80210-3507,499100
80211-1709,282200
80219-3248,234500
80236-2276,246800
80123-0887,452300
80204-4619,185100
80211-3603,130900
80222-6717,370200
80211-5013,592700
80219-4336,271500
None,189000
80210-1530,993700
80216-2429,759500
80206-2607,346600
80216,100
80123-1831,227700
80220-5031,1155500
80222-6010,344400
80207-1525,260900
80249-8723,401100
80219-4524,254400
80211-4537,501100
80206-4329,767600
80206-2107,270200
80211-1501,507300
80211-1204,380500
80210-2221,453300
None,663600
80220-1801,306800
80207-3225,438600
80249-8008,284400
None,100
80207-3903,354500
None,677200
80209-4625,983900
80239-5141,245100
80206-4526,566900
80221-1362,319200
80210-4622,399400
80236-2318,311900
None,100
80237-1014,350500
80210-4901,576500
80207-3148,441400
None,100
80239-3716,238100
80206-1708,418400
80238-2429,705700
80206-3943,799600
80223-2544,283700
80231-4503,355200
80210-4516,389000
80220-3127,267200
80219-2839,196000
80211-2113,424900
80206-4318,900000
80212-2442,363400
80237-2920,416800
None,2742100
80231-4137,370900
80210-6814,664500
None,416300
None,162400
80210-1706,780000
80210-5105,358900
80222-3832,372400
80219-2237,140400
80123-1853,330700
80239-3886,303400
80222-3916,392100
80220-3342,319700
80205-5124,517400
80239-6019,223300
80219-1145,273600
80224-2505,363000
80249-7247,290800
80222-6709,357300
None,100
80210-2127,339900
80223-2628,231900
None,7540800
80222-6831,455400
80231-2675,171000
80224-1432,192900
80212-2622,282100
None,200
80210-3113,425000
80212-1905,597900
None,319200
80209-2416,474600
80206-4009,643300
80239-4360,258400
80209-4418,1232000
80210-3133,466100
80231-4161,431000
80216-3539,202700
80227-3221,586900
80210-6115,982400
80220-1831,393300
80238-2981,365700
80207-4015,339000
80205-4750,356500
80216-2916,226200
80231-3972,211900
80211-4719,657200
80224-1212,354100
80207-4025,378800
80206-2210,536900
None,218100
80211-3053,903700
80207-2659,397100
None,986600
80212-2140,313500
None,355700
