"","address","countyfips","county","charter","city","distcode","district","highest","lowest","phone","schoolcode","school","setting","state","type","fips","zip","content","proficiency"
"24","2210 MCELWAIN BLVD",1,"ADAMS","N","DENVER",10,"MAPLETON 1","8th Grade","Preschool",3038531360,501,"MONTEREY COMMUNITY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",18.68
"25","660 WEST 70TH AVENUE",1,"ADAMS","N","DENVER",10,"MAPLETON 1","8th Grade","Kindergarten",3038531560,9036,"VALLEY VIEW K-8","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",26.4166666666667
"26","660 WEST 70TH AVENUE",1,"ADAMS","N","DENVER",10,"MAPLETON 1","8th Grade","Kindergarten",3038531560,9036,"VALLEY VIEW K-8","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",25.22
"27","1200 E 78TH AVE",1,"ADAMS","N","DENVER",10,"MAPLETON 1","6th Grade","Preschool",3038531700,504,"WELBY COMMUNITY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",41.4333333333333
"28","1200 E 78TH AVE",1,"ADAMS","N","DENVER",10,"MAPLETON 1","6th Grade","Preschool",3038531700,504,"WELBY COMMUNITY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",42.175
"29","9200 YORK ST",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","Kindergarten",3038531600,503,"YORK INTERNATIONAL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",24.1285714285714
"30","9200 YORK ST",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","Kindergarten",3038531600,503,"YORK INTERNATIONAL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",20.4571428571429
"31","13095 PECOS STREET",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725740,301,"ARAPAHOE RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80030,"ELA",52.8333333333333
"32","13095 PECOS STREET",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725740,301,"ARAPAHOE RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80030,"Math",41.1
"33","13200 WESTLAKE DRIVE",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725280,1388,"CENTENNIAL ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"ELA",35.3333333333333
"34","13200 WESTLAKE DRIVE",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725280,1388,"CENTENNIAL ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"Math",19.4
"35","13000 LAFAYETTE STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725240,1480,"CENTURY MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"ELA",42.8
"36","13000 LAFAYETTE STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725240,1480,"CENTURY MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"Math",33.4
"37","11500 CHERRY DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725300,2576,"CHERRY DRIVE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"ELA",35.0666666666667
"38","11500 CHERRY DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725300,2576,"CHERRY DRIVE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"Math",25.7666666666667
"39","8300 DOWNING DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725320,1878,"CORONADO HILLS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",12.7666666666667
"40","8300 DOWNING DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725320,1878,"CORONADO HILLS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",20.2
"41","11100 VRAIN STREET",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725340,1914,"COTTON CREEK ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80030,"ELA",55.1
"42","11100 VRAIN STREET",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725340,1914,"COTTON CREEK ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80030,"Math",35.5666666666667
"43","13770 BROADLANDS DRIVE",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725780,1937,"COYOTE RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"ELA",67.6333333333333
"44","13770 BROADLANDS DRIVE",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725780,1937,"COYOTE RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"Math",65.3333333333333
"45","4601 SUMMIT GROVE PARKWAY",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725760,2361,"EAGLEVIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"ELA",52.5666666666667
"46","4601 SUMMIT GROVE PARKWAY",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725760,2361,"EAGLEVIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"Math",49.9333333333333
"47","2500 W 96TH AVENUE",1,"ADAMS","N","DENVER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725360,2918,"FEDERAL HEIGHTS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",14.2333333333333
"48","2500 W 96TH AVENUE",1,"ADAMS","N","DENVER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725360,2918,"FEDERAL HEIGHTS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",12.15
"49","12060 JASMINE STREET",1,"ADAMS","N","BRIGHTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725940,14,"GLACIER PEAK ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80605,"ELA",38.7
"50","12060 JASMINE STREET",1,"ADAMS","N","BRIGHTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725940,14,"GLACIER PEAK ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80605,"Math",24.3333333333333
"51","10335 CROKE DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725380,4000,"HILLCREST ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",18.8333333333333
"52","10335 CROKE DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725380,4000,"HILLCREST ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",21.3
"53","5321 EAST 136TH AVENUE",1,"ADAMS","N","BRIGHTON",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209724400,4108,"HORIZON HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80601,"ELA",34
"54","5321 EAST 136TH AVENUE",1,"ADAMS","N","BRIGHTON",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209724400,4108,"HORIZON HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80601,"Math",40.5
"55","11551 WYCO DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","Kindergarten",7209725400,4172,"HULSTROM OPTIONS K-8 SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"ELA",88.4666666666667
"56","11551 WYCO DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","Kindergarten",7209725400,4172,"HULSTROM OPTIONS K-8 SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"Math",86.9666666666667
"57","13222 CORONA STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725440,2580,"HUNTERS GLEN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"ELA",41.3
"58","13222 CORONA STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725440,2580,"HUNTERS GLEN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"Math",27.6333333333333
"59","2701 WEST 136TH STREET",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209726700,5043,"LEGACY HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"ELA",51.1
"60","2701 WEST 136TH STREET",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209726700,5043,"LEGACY HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"Math",55.5
"61","1451 EAST LEROY DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725460,5058,"LEROY DRIVE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"ELA",19.1666666666667
"62","1451 EAST LEROY DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725460,5058,"LEROY DRIVE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"Math",15.5
"63","1300 EAST MALLEY DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725480,5418,"MALLEY DRIVE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"ELA",21.5666666666667
"64","1300 EAST MALLEY DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725480,5418,"MALLEY DRIVE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"Math",9.05
"65","1020 DAWSON DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725500,5706,"MC ELWAIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",13.5
"66","1020 DAWSON DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725500,5706,"MC ELWAIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",8.83333333333333
"67","14256 MCKAY PARK CIRCLE",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209727880,59,"MERIDIAN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"ELA",74.7666666666667
"68","14256 MCKAY PARK CIRCLE",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209727880,59,"MERIDIAN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"Math",61.7666666666667
"69","12500 HURON STREET",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209726300,6060,"MOUNTAIN RANGE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80234,"ELA",34.7
"70","12500 HURON STREET",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209726300,6060,"MOUNTAIN RANGE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80234,"Math",27.8
"71","12401 PERRY STREET",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725520,6150,"MOUNTAIN VIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"ELA",57.6333333333333
"72","12401 PERRY STREET",14,"BROOMFIELD","N","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725520,6150,"MOUNTAIN VIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8014,80020,"Math",48.7666666666667
"73","9580 DAMON DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725540,6355,"NORTH MOR ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",28.2666666666667
"74","9580 DAMON DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725540,6355,"NORTH MOR ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",16.4333333333333
"75","8740 NORTH STAR DRIVE",1,"ADAMS","N","DENVER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725560,6376,"NORTH STAR ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",16.9333333333333
"76","8740 NORTH STAR DRIVE",1,"ADAMS","N","DENVER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725560,6376,"NORTH STAR ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",13.9
"77","601 WEST 100TH PLACE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209724600,6402,"NORTHGLENN HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",19.8
"78","601 WEST 100TH PLACE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209724600,6402,"NORTHGLENN HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",21.7
"79","1123 MURIEL DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725080,6398,"NORTHGLENN MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"ELA",23.8
"80","1123 MURIEL DRIVE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725080,6398,"NORTHGLENN MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"Math",13.4
"81","13801 GARFIELD PLACE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209728780,7155,"PRAIRIE HILLS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80602,"ELA",61.0333333333333
"82","13801 GARFIELD PLACE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209728780,7155,"PRAIRIE HILLS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80602,"Math",54.3
"83","2555 PREBLE CREEK PKWY",14,"BROOMFIELD","Y","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","11th Grade","Kindergarten",7203990300,6802,"PROSPECT RIDGE ACADEMY","Denver Metro","CO","Public School Physical Address",8014,80023,"ELA",49.2142857142857
"84","2555 PREBLE CREEK PKWY",14,"BROOMFIELD","Y","BROOMFIELD",20,"ADAMS 12 FIVE STAR SCHOOLS","11th Grade","Kindergarten",7203990300,6802,"PROSPECT RIDGE ACADEMY","Denver Metro","CO","Public School Physical Address",8014,80023,"Math",42.3285714285714
"85","601 WEST 100TH PLACE",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","12th Grade","9th Grade",7209724600,6845,"P-TECH EARLY COLLEGE AT NORTHGLENN HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80260,"ELA",25.8
"86","10724 ELM DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725580,2584,"RIVERDALE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"ELA",42.2
"87","10724 ELM DRIVE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Preschool",7209725580,2584,"RIVERDALE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80233,"Math",25.5
"88","3350 WEST 99TH AVENUE",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725600,2582,"ROCKY MOUNTAIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80030,"ELA",17.9333333333333
"89","3350 WEST 99TH AVENUE",1,"ADAMS","N","WESTMINSTER",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725600,2582,"ROCKY MOUNTAIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80030,"Math",9.75
"90","14150 YORK STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209722200,57,"ROCKY TOP MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80602,"ELA",56.9
"91","14150 YORK STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209722200,57,"ROCKY TOP MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80602,"Math",48.5
"92","12551 HOLLY STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725040,6342,"SHADOW RIDGE MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80602,"ELA",38.5
"93","12551 HOLLY STREET",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725040,6342,"SHADOW RIDGE MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80602,"Math",24.3
"94","15101 FILLMORE STRE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209723941,7795,"SILVER CREEK ELEMENTARY","Denver Metro","CO","Public School Physical Address",8001,80602,"ELA",69.1666666666667
"95","15101 FILLMORE STRE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209723941,7795,"SILVER CREEK ELEMENTARY","Denver Metro","CO","Public School Physical Address",8001,80602,"Math",52.4666666666667
"96","12400 HURON STREET",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725000,4187,"SILVER HILLS MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80234,"ELA",32.7
"97","12400 HURON STREET",1,"ADAMS","N","NORTHGLENN",20,"ADAMS 12 FIVE STAR SCHOOLS","8th Grade","6th Grade",7209725000,4187,"SILVER HILLS MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80234,"Math",22.5666666666667
"98","5021 EAST 123RD AVENUE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725620,2578,"SKYVIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"ELA",42.5333333333333
"99","5021 EAST 123RD AVENUE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209725620,2578,"SKYVIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"Math",30.5
"100","3951 COTTONWOODLAKES BOULEVARD",1,"ADAMS","Y","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","10th Grade","Kindergarten",3034503936,1519,"STARGATE CHARTER SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"ELA",64.8428571428571
"101","3951 COTTONWOODLAKES BOULEVARD",1,"ADAMS","Y","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","10th Grade","Kindergarten",3034503936,1519,"STARGATE CHARTER SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"Math",70.8714285714286
"102","3901 EAST 124TH AVENUE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209722340,8225,"STELLAR ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"ELA",42.4
"103","3901 EAST 124TH AVENUE",1,"ADAMS","N","THORNTON",20,"ADAMS 12 FIVE STAR SCHOOLS","5th Grade","Kindergarten",7209722340,8225,"STELLAR ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80241,"Math",22.9
