address,countyfips,county,charter,city,distcode,district,highest,lowest,phone,schoolcode,name,setting,state,type,fips,zip
13000 LAFAYETTE STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209725240,1480,CENTURY MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
11500 CHERRY DRIVE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725300,2576,CHERRY DRIVE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
8300 DOWNING DRIVE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725320,1878,CORONADO HILLS ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
11100 VRAIN STREET,1,ADAMS,N,WESTMINSTER,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725340,1914,COTTON CREEK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80030
13770 BROADLANDS DRIVE,14,BROOMFIELD,N,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725780,1937,COYOTE RIDGE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
4601 SUMMIT GROVE PARKWAY,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725760,2361,EAGLEVIEW ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
2500 W 96TH AVENUE,1,ADAMS,N,DENVER,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725360,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80221
12060 JASMINE STREET,1,ADAMS,N,BRIGHTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725940,14,GLACIER PEAK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80605
10335 CROKE DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725380,4000,HILLCREST ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80221
5321 EAST 136TH AVENUE,1,ADAMS,N,BRIGHTON,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,9th Grade,7209724400,4108,HORIZON HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
11551 WYCO DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,Kindergarten,7209725400,4172,HULSTROM OPTIONS K-8 SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
13222 CORONA STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725440,2580,HUNTERS GLEN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
2701 WEST 136TH STREET,14,BROOMFIELD,N,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,9th Grade,7209726700,5043,LEGACY HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
1451 EAST LEROY DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725460,5058,LEROY DRIVE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
1300 EAST MALLEY DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725480,5418,MALLEY DRIVE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
1020 DAWSON DRIVE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725500,5706,MC ELWAIN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
14256 MCKAY PARK CIRCLE,14,BROOMFIELD,N,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209727880,59,MERIDIAN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
12500 HURON STREET,1,ADAMS,N,WESTMINSTER,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,9th Grade,7209726300,6060,MOUNTAIN RANGE HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80234
12401 PERRY STREET,14,BROOMFIELD,N,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725520,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
9580 DAMON DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725540,6355,NORTH MOR ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80221
8740 NORTH STAR DRIVE,1,ADAMS,N,DENVER,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725560,6376,NORTH STAR ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80221
601 WEST 100TH PLACE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,9th Grade,7209724600,6402,NORTHGLENN HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80221
1123 MURIEL DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209725080,6398,NORTHGLENN MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
550 E. 124TH AVENUE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,Kindergarten,7209724723,6956,PATHWAYS FUTURE CENTER,Denver Metro,CO,Public School Physical Address,8001,80241
13801 GARFIELD PLACE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209728780,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80602
2555 PREBLE CREEK PKWY,14,BROOMFIELD,Y,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,11th Grade,Kindergarten,7203990300,6802,PROSPECT RIDGE ACADEMY,Denver Metro,CO,Public School Physical Address,8014,80023
601 WEST 100TH PLACE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,9th Grade,7209724600,6845,P-TECH EARLY COLLEGE AT NORTHGLENN HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80260
10724 ELM DRIVE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725580,2584,RIVERDALE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
3350 WEST 99TH AVENUE,1,ADAMS,N,WESTMINSTER,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725600,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80030
14150 YORK STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209722200,57,ROCKY TOP MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80602
12551 HOLLY STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209725040,6342,SHADOW RIDGE MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80602
15101 FILLMORE STRE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209723941,7795,SILVER CREEK ELEMENTARY,Denver Metro,CO,Public School Physical Address,8001,80602
12400 HURON STREET,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209725000,4187,SILVER HILLS MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80234
5021 EAST 123RD AVENUE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725620,2578,SKYVIEW ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
3951 COTTONWOODLAKES BOULEVARD,1,ADAMS,Y,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,10th Grade,Kindergarten,3034503936,1519,STARGATE CHARTER SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
3901 EAST 124TH AVENUE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209722340,8225,STELLAR ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
11700 IRMA DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,Kindergarten,7209724000,8275,STEM LAB,Denver Metro,CO,Public School Physical Address,8001,80233
9450 PECOS STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,Kindergarten,7209725120,8310,STEM LAUNCH,Denver Metro,CO,Public School Physical Address,8001,80206
11080 GRANT DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725420,8361,STUKEY ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
3500 SUMMIT GROVE PARKWAY,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725640,2410,TARVER ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
9451 HOFFMAN WAY,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209725160,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,Denver Metro,CO,Public School Physical Address,8001,80229
10604 GRANT DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209723620,8211,THE STUDIO SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
900 EPPINGER BOULEVARD,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725660,8842,THORNTON ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
9351 WASHINGTON STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,9th Grade,7209724800,5816,THORNTON HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
10900 HURON STREET,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,6th Grade,7209725800,210,VANTAGE POINT,Denver Metro,CO,Public School Physical Address,8001,80234
11700 IRMA DRIVE,1,ADAMS,Y,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,12th Grade,Kindergarten,3034250967,9431,WESTGATE CHARTER,Denver Metro,CO,Public School Physical Address,8001,80233
2800 WEST 135TH AVENUE,14,BROOMFIELD,N,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,8th Grade,6th Grade,7209725200,9444,WESTLAKE MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
1300 ROSEANNA DRIVE,1,ADAMS,N,NORTHGLENN,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725680,9494,WESTVIEW ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80234
11717 MADISON STREET,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725700,9682,WOODGLEN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80233
7200 QUEBEC PARKWAY,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,12th Grade,9th Grade,3032893111,24,ADAMS CITY HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
4451 EAST 72ND AVENUE,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,8th Grade,6th Grade,3032895881,20,ADAMS CITY MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
7101 BIRCH STREET,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Kindergarten,3032886865,186,ALSUP ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
6450 HOLLY STREET,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Preschool,3032870327,1426,CENTRAL ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
7970 KIMBERLY STREET,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Kindergarten,3032870189,2308,DUPONT ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
7133 EAST 73RD AVENUE,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Preschool,3038535800,6534,HANSON ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
6160 KEARNEY STREET,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,8th Grade,6th Grade,3032870261,4516,KEARNEY MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
6775 ONEIDA STREET,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Preschool,3032886633,4536,KEMP ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
6500 EAST 72ND AVENUE,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,12th Grade,9th Grade,3032892983,22,LESTER R ARNOLD HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
5941 EAST 64TH AVENUE,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,Preschool,Preschool,3032869472,5880,MILDRED L SANVILLE PRESCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
7631 MONACO BOULEVARD,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Kindergarten,3032870307,5982,MONACO ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
6900 EAST 58TH AVENUE,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,5th Grade,Preschool,3032870163,7500,ROSE HILL ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
5650 BOWEN COURT,1,ADAMS,N,COMMERCE CITY,30,ADAMS COUNTY 14,Preschool,Preschool,3038535000,124,STARS EARLY LEARNING CENTER,Denver Metro,CO,Public School Physical Address,8001,80022
9290 EAST 107TH AVENUE,1,ADAMS,Y,HENDERSON,40,SCHOOL DISTRICT 27J,8th Grade,Kindergarten,3034680160,700,BELLE CREEK CHARTER SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80640
1850 EGBERT STREET,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,12th Grade,9th Grade,7506855475,1560,BOLT ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80601
7800 E. 133RD AVENUE,1,ADAMS,N,THORNTON,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,7206855050,1013,BRANTNER ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80602
830 BRIDGE STREET,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,12th Grade,6th Grade,3036552850,1021,BRIGHTON HERITAGE ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80601
270 SOUTH 8TH AVENUE,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,12th Grade,9th Grade,3036554200,1022,BRIGHTON HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
356 LONGSPUR DRIVE,1,ADAMS,Y,BRIGHTON,40,SCHOOL DISTRICT 27J,8th Grade,Preschool,7206853297,1052,BROMLEY EAST CHARTER SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
3551 SOUTHERN STREET,1,ADAMS,Y,BRIGHTON,40,SCHOOL DISTRICT 27J,12th Grade,9th Grade,3033454380,2399,EAGLE RIDGE ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80601
340 SOUTH 45TH AVENUE,1,ADAMS,Y,BRIGHTON,40,SCHOOL DISTRICT 27J,8th Grade,Kindergarten,3036599519,2945,FOUNDATIONS ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80601
12301 EAST 124TH AVENUE,1,ADAMS,N,HENDERSON,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,3036552700,3900,HENDERSON ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80640
11453 OSWEGO STREET,1,ADAMS,N,HENDERSON,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,3036552750,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80640
10566 MEMPHIS STREET,1,ADAMS,Y,COMMERCE CITY,40,SCHOOL DISTRICT 27J,8th Grade,Kindergarten,3032872901,4950,LANDMARK ACADEMY AT REUNION,Denver Metro,CO,Public School Physical Address,8001,80022
3707 ESTRELLA STREET,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,5th Grade,Kindergarten,7206857500,5615,MARY E PENNOCK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
89 NORTH 6TH AVENUE,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,3036552500,6294,NORTH ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
1605 LONGSPEAK,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,6th Grade,Preschool,3036552550,6395,NORTHEAST ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
15955 EAST 101ST WAY,1,ADAMS,N,COMMERCE CITY,40,SCHOOL DISTRICT 27J,8th Grade,6th Grade,7206855500,6702,OTHO E STUART MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
455 NORTH 19TH AVENUE,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,8th Grade,6th Grade,3036554000,6638,OVERLAND TRAIL MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
12909 E 120TH AVE,1,ADAMS,N,HENDERSON,40,SCHOOL DISTRICT 27J,12th Grade,9th Grade,3036558800,7129,PRAIRIE VIEW HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80640
12915 EAST 120TH AVENUE,1,ADAMS,N,HENDERSON,40,SCHOOL DISTRICT 27J,8th Grade,6th Grade,7206855400,7131,PRAIRIE VIEW MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80640
1850 EGBERT SUITE G20,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,Preschool,Preschool,7206855490,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,Denver Metro,CO,Public School Physical Address,8001,80601
9950 LAREDO DRIVE,1,ADAMS,N,COMMERCE CITY,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,7206857550,7714,SECOND CREEK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80022
305 SOUTH 5TH AVENUE,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,5th Grade,Kindergarten,3036552600,8060,SOUTH ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
1595 SOUTHERN STREET,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,5th Grade,Kindergarten,3038662650,8130,SOUTHEAST ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
13069 EAST 106TH PLACE,1,ADAMS,N,COMMERCE CITY,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,7206855350,8820,TURNBERRY ELEMENTARY,Denver Metro,CO,Public School Physical Address,8001,80022
879 JESSUP STREET,1,ADAMS,N,BRIGHTON,40,SCHOOL DISTRICT 27J,8th Grade,6th Grade,3036554050,9230,VIKAN MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
13102 MONACO STREET,1,ADAMS,N,THORNTON,40,SCHOOL DISTRICT 27J,5th Grade,Preschool,7206855300,9426,WEST RIDGE ELEMENTARY,Denver Metro,CO,Public School Physical Address,8001,80602
462 8TH STREET,1,ADAMS,N,BENNETT,50,BENNETT 29J,5th Grade,Kindergarten,3036443234,770,BENNETT ELEMENTARY SCHOOL,Outlying Town,CO,Public School Physical Address,8001,80102
610 7TH STREET,1,ADAMS,N,BENNETT,50,BENNETT 29J,12th Grade,9th Grade,3036443234,775,BENNETT HIGH SCHOOL,Outlying Town,CO,Public School Physical Address,8001,80102
455 8TH STREET,1,ADAMS,N,BENNETT,50,BENNETT 29J,8th Grade,6th Grade,3036443234,774,BENNETT MIDDLE SCHOOL,Outlying Town,CO,Public School Physical Address,8001,80102
805 WASHINGTON WAY,1,ADAMS,N,BENNETT,50,BENNETT 29J,Preschool,Preschool,3036443234,763,BENNETT PRESCHOOL,Outlying Town,CO,Public School Physical Address,8001,80102
2100 WAGNER,1,ADAMS,N,STRASBURG,60,STRASBURG 31J,8th Grade,6th Grade,3036229211,8332,HEMPHILL MIDDLE SCHOOL,Remote,CO,Public School Physical Address,8001,80136
1983 MONROE STREET,1,ADAMS,Y,STRASBURG,60,STRASBURG 31J,12th Grade,9th Grade,3036226328,7133,PRAIRIE CREEKS CHARTER SCHOOL,Remote,CO,Public School Physical Address,8001,80136
56729 EAST COLORADO AVENUE,1,ADAMS,N,STRASBURG,60,STRASBURG 31J,5th Grade,Preschool,3036229211,8328,STRASBURG ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8001,80136
56729 EAST COLORADO AVENUE,1,ADAMS,N,STRASBURG,60,STRASBURG 31J,12th Grade,9th Grade,3036229211,8334,STRASBURG HIGH SCHOOL,Remote,CO,Public School Physical Address,8001,80136
2341 SHERRELWOOD DRIVE,1,ADAMS,N,DENVER,70,WESTMINSTER PUBLIC SCHOOLS,5th Grade,Kindergarten,3034281884,1622,CLARA E. METZ ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80221
7281 IRVING STREET,1,ADAMS,N,WESTMINSTER,70,WESTMINSTER PUBLIC SCHOOLS,8th Grade,Kindergarten,7205425016,4334,COLORADO STEM ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80030
