OBJECTID,School_Code,School_Name,Address,City,State,Zip,Phone,Lowest_Grade,Highest_Grade,District_Code,District_Name,Setting,Charter_YN,Type_,COUNTY,LATITUDE,LONGITUDE,nhid,countyfp10,nhname
515,6350,BRUCE RANDOLPH SCHOOL,3955 STEELE STREET,DENVER,CO,80205,7204241080,6th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.772026,-104.949974,17,08031,Clayton
599,3778,INTERNATIONAL ACADEMY OF DENVER AT HARRINGTON,2401 EAST 37TH AVENUE,DENVER,CO,80205,7204246420,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.768196,-104.958397,17,08031,Clayton
692,6957,UNIVERSITY PREP - STEELE ST.,3230 EAST 38TH AVENUE,DENVER,CO,80205,3033298412,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.769169,-104.949524,17,08031,Clayton
524,1785,COLE ARTS AND SCIENCE ACADEMY,3240 HUMBOLDT STREET,DENVER,CO,80205,7204239120,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.763489,-104.969559,18,08031,Cole
557,2175,DSST: COLE HIGH SCHOOL,3240 HUMBOLDT STREET,DENVER,CO,80205,7205246354,9th Grade,11th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.763489,-104.969559,18,08031,Cole
703,9739,WYATT ACADEMY,3620 FRANKLIN STREET,DENVER,CO,80205,3032925515,Kindergarten,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.767246,-104.968338,18,08031,Cole
526,1788,COLLEGE VIEW ELEMENTARY SCHOOL,2675 SOUTH DECATUR STREET,DENVER,CO,80219,7204248660,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.668938,-105.022797,19,08031,College View
679,8401,STRIVE PREP - RUBY HILL,2626 WEST EVANS AVENUE,DENVER,CO,80219,7204602800,Kindergarten,3rd Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.678608,-105.018585,19,08031,College View
650,7243,REACH CHARTER SCHOOL,940 FILLMORE STREET,DENVER,CO,80206,7204468927,Preschool,3rd Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.731213,-104.952789,20,08031,Congress Park
686,8776,TELLER ELEMENTARY SCHOOL,1150 GARFIELD STREET,DENVER,CO,80206,7204243560,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.73439,-104.943932,20,08031,Congress Park
534,1908,CORY ELEMENTARY SCHOOL,1550 SOUTH STEELE STREET,DENVER,CO,80210,7204248380,1st Grade,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.688408,-104.949959,21,08031,Cory-Merrill
536,3698,CREATIVITY CHALLENGE COMMUNITY,1551 S.  MONROE ST,DENVER,CO,80210,7204240630,Kindergarten,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.688381,-104.945442,21,08031,Cory-Merrill
630,5826,MERRILL MIDDLE SCHOOL,1551 SOUTH MONROE STREET,DENVER,CO,80210,7204240600,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.688381,-104.945442,21,08031,Cory-Merrill
558,2223,DSST: COLE MIDDLE SCHOOL,1350 E. 3rd Ave,DENVER,CO,80205,3035246354,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.720039,-104.970367,22,08031,Country Club
1114,148,ALLENDALE ELEMENTARY SCHOOL,5900 OAK STREET,ARVADA,CO,80004,3039821165,Preschool,6th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.80444,-105.11895,135,08059,Allendale
1117,378,ARVADA WEST HIGH SCHOOL,11595 ALLENDALE DRIVE,ARVADA,CO,80004,3039821303,9th Grade,12th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.808807,-105.126282,135,08059,Allendale
1255,9058,VANDERHOOF ELEMENTARY SCHOOL,5875 ROUTT COURT,ARVADA,CO,80004,3039822744,Kindergarten,6th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.803432,-105.126549,135,08059,Allendale
1259,9245,WARREN TECH NORTH,11325 ALLENDALE DRIVE,ARVADA,CO,80004,3039829360,10th Grade,12th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.808796,-105.124939,135,08059,Allendale
616,5044,LEGACY OPTIONS HIGH SCHOOL,6850 NORTH ARGONNE STREET,DENVER,CO,80249,7204243100,9th Grade,10th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.820911,-104.769524,23,08031,Denver Airport
508,418,ASHLEY ELEMENTARY SCHOOL,1914 SYRACUSE STREET,DENVER,CO,80220,7204249748,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.74646,-104.898697,24,08031,East Colfax
684,8422,SWANSEA ELEMENTARY SCHOOL,4650 COLUMBINE STREET,DENVER,CO,80216,7204243630,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.781063,-104.956963,25,08031,Elyria Swansea
527,1295,COLLEGIATE PREPARATORY ACADEMY,5290 KITTREDGE STREET,DENVER,CO,80239,7204230850,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.788548,-104.801964,28,08031,Green Valley Ranch
553,5605,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,19535 EAST 46TH AVENUE,DENVER,CO,80249,7204240420,6th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.78009,-104.7612,28,08031,Green Valley Ranch
561,2145,DSST: GREEN VALLEY RANCH HIGH SCHOOL,4800 TELLURIDE STREET #2,DENVER,CO,80249,3035246300,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.783817,-104.781601,28,08031,Green Valley Ranch
562,2181,DSST: GREEN VALLEY RANCH MIDDLE SCHOOL,4800 TELLURIDE STREET BUILDING 3,DENVER,CO,80249,3035246300,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.783817,-104.781601,28,08031,Green Valley Ranch
576,6970,FLORIDA PITT-WALLER ECE-8 SCHOOL,21601 EAST 51ST PLACE,DENVER,CO,80249,7204242840,Preschool,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.789169,-104.734734,28,08031,Green Valley Ranch
587,3641,GREEN VALLEY ELEMENTARY SCHOOL,4100 JERICHO ST,DENVER,CO,80249,7204246710,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.772903,-104.74939,28,08031,Green Valley Ranch
595,4049,HIGHLINE ACADEMY NORTHEAST,19451 EAST MAXWELL PLACE,DENVER,CO,80249,7204855172,Preschool,3rd Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.794884,-104.760918,28,08031,Green Valley Ranch
609,4507,KIPP MONTBELLO COLLEGE PREP,5290 KITTREDGE STREET,DENVER,CO,80239,3033071970,5th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.788548,-104.801964,28,08031,Green Valley Ranch
610,4500,KIPP MONTBELLO ELEMENTARY,19451 EAST MAXWELL PLACE,DENVER,CO,80249,7204522551,Kindergarten,2nd Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.794884,-104.760918,28,08031,Green Valley Ranch
617,3340,LENA ARCHULETA ELEMENTARY SCHOOL,16000 MAXWELL PLACE,DENVER,CO,80239,7204249888,1st Grade,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.796124,-104.800484,28,08031,Green Valley Ranch
622,5578,MARRAMA ELEMENTARY SCHOOL,19100 EAST 40TH AVENUE,DENVER,CO,80249,7204245820,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.771729,-104.765846,28,08031,Green Valley Ranch
642,6508,OMAR D BLAIR CHARTER SCHOOL,4905 CATHAY STREET,DENVER,CO,80249,3033719570,Kindergarten,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.786476,-104.764694,28,08031,Green Valley Ranch
644,7188,P.U.S.H. ACADEMY,4501 Airport Way,DENVER,CO,80239,7204237200,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.775169,-104.795525,28,08031,Green Valley Ranch
659,2919,SANDRA TODD-WILLIAMS ACADEMY,4909 CATHAY STREET,DENVER,CO,80249,7204248240,Preschool,Preschool,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.78651,-104.764671,28,08031,Green Valley Ranch
664,8053,SOAR AT GREEN VALLEY RANCH,4800 TELLURIDE STREET #4,DENVER,CO,80249,7202875100,Kindergarten,5th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.783817,-104.781601,28,08031,Green Valley Ranch
674,9730,STRIVE PREP - GVR,4800 TELLURIDE ST,DENVER,CO,80249,3039992893,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.783817,-104.781601,28,08031,Green Valley Ranch
678,7973,STRIVE PREP - RISE,18250 EAST 51ST AVENUE,DENVER,CO,80249,7204856393,9th Grade,9th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.787793,-104.7773,28,08031,Green Valley Ranch
696,8995,VISTA ACADEMY,4800 TELLURIDE STREET,DENVER,CO,80249,7204237600,6th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.783817,-104.781601,28,08031,Green Valley Ranch
580,3426,GILPIN MONTESSORI PUBLIC SCHOOL,2949 CALIFORNIA STREET,DENVER,CO,80205,7204247140,Preschool,6th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.757954,-104.975777,26,08031,Five Points
649,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,410 PARK AVENUE WEST,DENVER,CO,80205,7204247860,Kindergarten,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.749748,-104.981247,26,08031,Five Points
691,8945,UNIVERSITY PREP - ARAPAHOE ST.,2409 ARAPAHOE STREET,DENVER,CO,80205,3032920463,Kindergarten,5th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.755493,-104.985893,26,08031,Five Points
605,4498,KAISER ELEMENTARY SCHOOL,4500 SOUTH QUITMAN STREET,DENVER,CO,80236,7204246210,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.634277,-105.04216,27,08031,Fort Logan
658,7578,SAMUELS ELEMENTARY SCHOOL,3985 SOUTH VINCENNES COURT,DENVER,CO,80237,7204244450,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.642765,-104.891205,33,08031,Hampden South
666,8138,SOUTHMOOR ELEMENTARY SCHOOL,3755 SOUTH MAGNOLIA WAY,DENVER,CO,80237,7204243930,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.648521,-104.911591,33,08031,Hampden South
578,3296,GARDEN PLACE ELEMENTARY SCHOOL,4425 LINCOLN STREET,DENVER,CO,80216,7204247220,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.776993,-104.985931,29,08031,Globeville
265,2384,EAST MIDDLE SCHOOL,1275 FRASER ST,AURORA,CO,80011,3033400660,6th Grade,8th Grade,180,ADAMS-ARAPAHOE 28J,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.734943,-104.812126,287,08005,Chambers Heights and Laredo Highline
267,2618,ELKHART ELEMENTARY SCHOOL,1020 EAGLE ST,AURORA,CO,80011,3033403050,Kindergarten,5th Grade,180,ADAMS-ARAPAHOE 28J,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.731606,-104.816032,287,08005,Chambers Heights and Laredo Highline
596,3987,HIGHLINE ACADEMY SOUTHEAST,2170 SOUTH DAHLIA STREET,DENVER,CO,80222,3037597808,Kindergarten,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.677383,-104.931519,30,08031,Goldsmith
645,6676,PALMER ELEMENTARY SCHOOL,995 GRAPE STREET,DENVER,CO,80220,7204245000,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.731949,-104.924667,31,08031,Hale
591,3746,HAMILTON MIDDLE SCHOOL,8600 EAST DARTMOUTH AVENUE,DENVER,CO,80231,7204239500,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.660297,-104.892632,32,08031,Hampden
598,4074,HOLM ELEMENTARY SCHOOL,3185 SOUTH WILLOW COURT,DENVER,CO,80231,7204246350,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.658463,-104.891304,32,08031,Hampden
601,4383,JOE SHOEMAKER SCHOOL,3333 SOUTH HAVANA STREET,DENVER,CO,80231,7204239333,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.655861,-104.866653,32,08031,Hampden
170,1614,CIMARRON ELEMENTARY SCHOOL,17373 EAST LEHIGH PL,AURORA,CO,80013,7208868100,Preschool,5th Grade,130,CHERRY CREEK 5,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.648083,-104.784859,156,08005,Summer Valley Park
190,4100,HORIZON MIDDLE SCHOOL,3981 SOUTH RESERVOIR ROAD,AURORA,CO,80013,7208866100,6th Grade,8th Grade,130,CHERRY CREEK 5,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.64399,-104.7705,156,08005,Summer Valley Park
195,5744,MEADOW POINT ELEMENTARY SCHOOL,17901 EAST GRAND AVENUE,AURORA,CO,80015,7208868600,Preschool,5th Grade,130,CHERRY CREEK 5,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.62598,-104.779732,156,08005,Summer Valley Park
212,8380,SUMMIT ELEMENTARY SCHOOL,18201 EAST QUINCY AVE,AURORA,CO,80015,7208866400,Preschool,5th Grade,130,CHERRY CREEK 5,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.638645,-104.77462,156,08005,Summer Valley Park
213,8394,SUNRISE ELEMENTARY SCHOOL,4050 SOUTH GENOA WAY,AURORA,CO,80013,7208862900,Preschool,5th Grade,130,CHERRY CREEK 5,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.643761,-104.758331,156,08005,Summer Valley Park
501,10,ABRAHAM LINCOLN HIGH SCHOOL,2285 SOUTH FEDERAL BOULEVARD,DENVER,CO,80219,7204235000,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.676849,-105.025124,34,08031,Harvey Park
551,2258,DOULL ELEMENTARY SCHOOL,2520 SOUTH UTICA STREET,DENVER,CO,80219,7204248000,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.672974,-105.044899,34,08031,Harvey Park
614,4795,KUNSMILLER CREATIVE ARTS ACADEMY,2250 SOUTH QUITMAN WAY,DENVER,CO,80219,7204240200,Kindergarten,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.675858,-105.040543,34,08031,Harvey Park
651,7246,RESPECT ACADEMY AT LINCOLN,2285 SOUTH FEDERAL BLVD,DENVER,CO,80219,7204235203,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.676849,-105.025124,34,08031,Harvey Park
554,2244,DSST COLLEGE VIEW HIGH SCHOOL,3111 WEST DARTMOUTH AVENUE,DENVER,CO,80236,3035246320,9th Grade,10th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.660419,-105.032768,35,08031,Harvey Park South
559,4381,DSST: COLLEGE VIEW MIDDLE SCHOOL,3111 W Dartmouth Ave,DENVER,CO,80236,3035246320,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.660419,-105.032768,35,08031,Harvey Park South
589,3704,GUST ELEMENTARY SCHOOL,3440 WEST YALE AVENUE,DENVER,CO,80219,7204246560,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.667656,-105.031792,35,08031,Harvey Park South
657,7554,SABIN WORLD SCHOOL,3050 SOUTH VRAIN STREET,DENVER,CO,80236,7204244520,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.659138,-105.046669,35,08031,Harvey Park South
667,8132,SOUTHWEST EARLY COLLEGE,3001 SOUTH FEDERAL BOULEVARD,DENVER,CO,80236,3039355473,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.659687,-105.025238,35,08031,Harvey Park South
683,8145,SUMMIT ACADEMY,3111 W. Dartmouth Ave.,DENVER,CO,80236,7204242400,6th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.660419,-105.032768,35,08031,Harvey Park South
502,6397,ACADEMIA ANA MARIE SANDOVAL,3655 WYANDOT STREET,DENVER,CO,80211,7204244370,Preschool,6th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.767506,-105.01442,36,08031,Highland
504,67,ACADEMY OF URBAN LEARNING,2417 W. 29th Ave,DENVER,CO,80211,3032820900,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.758476,-105.017426,36,08031,Highland
